Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,
South Sudan,290,,4 ,,4,282,,26,0.4,"3,356",300,
Uganda,264,+4, ,,65,199,,6,,"75,228","1,651",
Nicaragua,254,,17 ,,199,38,,38,3,,,
Sao Tome and Principe,251,,8 ,,4,239,,"1,148",37,175,800,
Liberia,238,+5,23 ,,128,87,,47,5,,,
French Guiana,218,,1 ,,136,81,,732,3,,,
Eswatini,208,,2 ,,87,119,,180,2,"4,160","3,590",
Myanmar,193,,6 ,,104,83,,4,0.1,"15,137",278,
Martinique,192,,14 ,,91,87,,512,37,,,
Faeroe Islands,187,, ,,187,0,,"3,829",,"8,986","183,981",
Yemen,184,+17,30 ,+2,5,149,,6,1,120,4,
Mozambique,156,+10, ,,48,108,,5,,"6,769",217,
Guadeloupe,155,,13 ,,109,33,3,387,32,"2,866","7,163",
Gibraltar,149,+2, ,,145,4,,"4,422",,"5,615","166,657",
Brunei ,141,,1 ,,136,4,2,323,2,"17,718","40,546",
Mongolia,140,, ,,26,114,27,43,,"11,641","3,558",
Mauritania,131,,4 ,,7,120,,28,0.9,"2,583",557,
Benin,130,,2 ,,83,45,,11,0.2,"25,471","2,108",
Guyana,125,,10 ,,46,69,3,159,13,"1,269","1,614",
Bermuda,125,,9 ,,78,38,2,"2,006",144,"5,705","91,569",
Cambodia,122,, ,,122,0,,7,,"15,572",933,
Trinidad and Tobago,116,,8 ,,107,1,,83,6,"2,727","1,949",
Cayman Islands,111,,1 ,,55,55,,"1,691",15,"7,082","107,906",
Aruba,101,,3 ,,95,3,4,946,28,"2,025","18,976",
Monaco,97,,4 ,,87,6,1,"2,474",102,,,
Bahamas,96,,11 ,,43,42,1,244,28,"1,826","4,649",
Barbados,90,+2,7 ,,68,15,4,313,24,"4,167","14,502",
Liechtenstein,82,,1 ,,55,26,,"2,151",26,900,"23,612",
Sint Maarten,77,,15 ,,54,8,7,"1,798",350,414,"9,669",
Malawi,71,+1,3 ,,27,41,1,4,0.2,"1,803",95,
